Date,Type,Strength,Full name,,Full name,Frequency
11/20/2021,still,very,very still,,,
11/21/2021,breeze,strong,strong breeze,,,
11/22/2021,breeze,strong,strong breeze,,,
11/23/2021,still,very,very still,,,
11/24/2021,still,very,very still,,,
11/25/2021,still,very,very still,,,
11/26/2021,still,very,very still,,,
11/27/2021,still,very,very still,,,
11/28/2021,still,very,very still,,,
11/29/2021,still,very,very still,,,
11/30/2021,still,very,very still,,,
12/01/2021,still,very,very still,,,
12/02/2021,still,very,very still,,,
12/03/2021,still,very,very still,,,
12/04/2021,still,very,very still,,,
12/05/2021,still,very,very still,,,
12/06/2021,still,very,very still,,,
12/07/2021,still,very,very still,,,
12/08/2021,breeze,strong,strong breeze,,,
12/09/2021,still,very,very still,,,
12/10/2021,still,very,very still,,,
12/11/2021,breeze,strong,strong breeze,,,
12/13/2021,still,very,very still,,,
12/14/2021,breeze,good,good breeze,,,
12/15/2021,breeze,slight,slight breeze,,,
12/16/2021,breeze,good,good breeze,,,
12/17/2021,still,very,very still,,,
12/18/2021,breeze,strong,strong breeze,,,
12/19/2021,still,very,very still,,,
12/20/2021,still,very,very still,,,
12/21/2021,breeze,good,good breeze,,,
12/22/2021,still,very,very still,,,
12/23/2021,still,very,very still,,,
12/24/2021,breeze,slight,slight breeze,,,
12/25/2021,still,very,very still,,,
12/26/2021,still,very,very still,,,
12/27/2021,still,very,very still,,,
12/28/2021,still,very,very still,,,
12/29/2021,breeze,good,good breeze,,,
12/30/2021,breeze,good,good breeze,,,
12/31/2021,breeze,strong,strong breeze,,,
01/01/2022,breeze,strong,strong breeze,,,
01/02/2022,breeze,strong,strong breeze,,,
01/03/2022,breeze,strong,strong breeze,,,
01/04/2022,still,very,very still,,,
01/05/2022,still,very,very still,,,
01/06/2022,still,very,very still,,,
01/07/2022,still,very,very still,,,
01/08/2022,still,very,very still,,,
01/09/2022,breeze,gentle,gentle breeze,,,
01/10/2022,breeze,strong,strong breeze,,,
01/11/2022,breeze,very strong,very strong breeze,,,
01/12/2022,breeze,good,good breeze,,,
1/13/2022,still,very,very still,,,
1/14/2022,still,very,very still,,,
1/15/2022,still,very,very still,,,
1/16/2022,breeze,strong,strong breeze,,,
1/17/2022,still,very,very still,,,
1/18/2022,still,very,very still,,,
1/19/2022,still,very,very still,,,
1/20/2022,still,very,very still,,,
1/21/2022,still,very,very still,,,
1/22/2022,breeze,strong,strong breeze,,,
1/23/2022,breeze,very strong,very strong breeze,,,
1/24/2022,still,very,very still,,,
1/25/2022,still,very,very still,,,
1/26/2022,still,very,very still,,,
1/27/2022,breeze,gentle,gentle breeze,,,
1/28/2022,still,very,very still,,,
1/29/2022,breeze,, breeze,,,
1/30/2022,still,very,very still,,,
1/31/2022,still,very,very still,,,
02/01/2022,still,very,very still,,,
02/02/2022,still,very,very still,,,
02/03/2022,breeze,gentle,gentle breeze,,,
02/04/2022,still,very,very still,,,
02/05/2022,breeze,good,good breeze,,,
02/06/2022,breeze,gentle,gentle breeze,,,
02/07/2022,still,very,very still,,,
02/08/2022,breeze,strong,strong breeze,,,
02/09/2022,breeze,good,good breeze,,,
02/10/2022,breeze,, breeze,,,
02/11/2022,still,very,very still,,,
02/12/2022,still,very,very still,,,
2/13/2022,still,very,very still,,,
2/14/2022,breeze,strong,strong breeze,,,
2/15/2022,breeze,good,good breeze,,,
2/16/2022,breeze,, breeze,,,
2/17/2022,still,very,very still,,,
2/18/2022,breeze,strong,strong breeze,,,
2/19/2022,breeze,very slight,very slight breeze,,,
2/20/2022,still,very,very still,,,
2/21/2022,still,very,very still,,,
2/22/2022,still,very,very still,,,
2/23/2022,still,very,very still,,,
2/24/2022,breeze,good,good breeze,,,
2/26/2022,breeze,slight,slight breeze,,,
2/27/2022,still,very,very still,,,
2/28/2022,still,very,very still,,,
03/01/2022,breeze,strong,strong breeze,,,
03/02/2022,still,very,very still,,,
03/03/2022,still,very,very still,,,
03/04/2022,still,very,very still,,,
03/05/2022,breeze,slight,slight breeze,,,
03/06/2022,still,very,very still,,,
03/07/2022,breeze,slight,slight breeze,,,
03/08/2022,breeze,strong,strong breeze,,,
03/09/2022,breeze,slight,slight breeze,,,
03/10/2022,still,very,very still,,,
03/11/2022,breeze,gentle,gentle breeze,,,
03/12/2022,breeze,good,good breeze,,,
3/13/2022,still,very,very still,,,
3/14/2022,still,very,very still,,,
3/15/2022,still,very,very still,,,
3/16/2022,breeze,slight,slight breeze,,,
3/17/2022,still,very,very still,,,
3/18/2022,still,very,very still,,,
3/19/2022,still,very,very still,,,
3/20/2022,breeze,strong,strong breeze,,,
3/21/2022,still,very,very still,,,
3/22/2022,breeze,slight,slight breeze,,,
3/23/2022,still,very,very still,,,
3/24/2022,still,very,very still,,,
3/25/2022,still,very,very still,,,
3/26/2022,still,very,very still,,,
3/27/2022,still,very,very still,,,
3/28/2022,breeze,good,good breeze,,,
3/29/2022,breeze,slight,slight breeze,,,
3/30/2022,still,very,very still,,,
3/31/2022,still,very,very still,,,
04/01/2022,still,very,very still,,,
04/02/2022,still,very,very still,,,
04/03/2022,still,very,very still,,,
04/04/2022,still,very,very still,,,
04/05/2022,still,very,very still,,,
04/06/2022,still,very,very still,,,
04/07/2022,breeze,good,good breeze,,,
04/08/2022,still,very,very still,,,
04/09/2022,still,very,very still,,,
04/10/2022,breeze,slight,slight breeze,,,
04/11/2022,still,very,very still,,,
04/12/2022,breeze,very strong,very strong breeze,,,
4/13/2022,wind,strong,strong wind,,,
4/14/2022,still,very,very still,,,
4/15/2022,breeze,gentle,gentle breeze,,,
4/16/2022,still,very,very still,,,
4/17/2022,still,very,very still,,,
4/18/2022,still,very,very still,,,
4/19/2022,still,very,very still,,,
4/20/2022,still,very,very still,,,
4/21/2022,still,very,very still,,,
4/22/2022,still,very,very still,,,
4/23/2022,breeze,slight,slight breeze,,,
4/24/2022,breeze,, breeze,,,
4/25/2022,breeze,gentle,gentle breeze,,,
4/26/2022,still,very,very still,,,
4/27/2022,breeze,slight,slight breeze,,,
4/28/2022,still,very,very still,,,
4/29/2022,still,very,very still,,,
4/30/2022,still,very,very still,,,
05/01/2022,still,very,very still,,,
05/02/2022,still,very,very still,,,
05/03/2022,still,very,very still,,,
05/04/2022,still,very,very still,,,
05/05/2022,still,very,very still,,,
05/06/2022,breeze,very slight,very slight breeze,,,
05/07/2022,still,very,very still,,,
05/08/2022,still,very,very still,,,
05/09/2022,breeze,strong,strong breeze,,,
05/10/2022,still,very,very still,,,
05/11/2022,breeze,good,good breeze,,,
05/12/2022,breeze,strong,strong breeze,,,
5/13/2022,breeze,gentle,gentle breeze,,,
5/14/2022,still,very,very still,,,
5/15/2022,still,very,very still,,,
5/16/2022,still,very,very still,,,
5/17/2022,still,very,very still,,,
5/18/2022,still,very,very still,,,
5/19/2022,still,very,very still,,,
5/20/2022,still,very,very still,,,
5/21/2022,breeze,slight,slight breeze,,,
5/22/2022,still,very,very still,,,
5/23/2022,breeze,slight,slight breeze,,,
5/24/2022,still,very,very still,,,
5/25/2022,still,very,very still,,,
5/26/2022,still,very,very still,,,
5/27/2022,breeze,slight,slight breeze,,,
5/28/2022,still,very,very still,,,
5/29/2022,breeze,slight,slight breeze,,,
5/30/2022,still,very,very still,,,
5/31/2022,still,very,very still,,,
06/01/2022,still,very,very still,,,
06/02/2022,still,very,very still,,,
06/03/2022,still,very,very still,,,
06/05/2022,still,very,very still,,,
06/06/2022,still,very,very still,,,
06/07/2022,still,very,very still,,,
06/08/2022,still,very,very still,,,
06/09/2022,still,very,very still,,,
06/10/2022,breeze,slight,slight breeze,,,
06/11/2022,still,very,very still,,,
06/12/2022,breeze,very slight,very slight breeze,,,
6/13/2022,still,very,very still,,,
6/14/2022,still,very,very still,,,
6/15/2022,still,very,very still,,,
6/16/2022,still,very,very still,,,
6/17/2022,breeze,slight,slight breeze,,,
6/18/2022,still,very,very still,,,
6/19/2022,still,very,very still,,,
6/20/2022,still,very,very still,,,
6/21/2022,still,very,very still,,,
6/22/2022,breeze,good,good breeze,,,
6/23/2022,still,very,very still,,,
6/24/2022,still,very,very still,,,
6/25/2022,still,very,very still,,,
6/26/2022,breeze,slight,slight breeze,,,
6/27/2022,still,very,very still,,,
6/28/2022,still,very,very still,,,
6/29/2022,still,very,very still,,,
6/30/2022,still,very,very still,,,
07/01/2022,breeze,slight,slight breeze,,,
07/02/2022,still,very,very still,,,
07/03/2022,still,very,very still,,,
07/04/2022,still,very,very still,,,
07/05/2022,breeze,slight,slight breeze,,,
07/06/2022,still,very,very still,,,
07/08/2022,still,very,very still,,,
07/09/2022,still,very,very still,,,
07/10/2022,still,very,very still,,,
07/11/2022,still,very,very still,,,
07/12/2022,still,very,very still,,,
7/13/2022,still,very,very still,,,
7/14/2022,still,very,very still,,,
7/15/2022,still,very,very still,,,
7/16/2022,still,very,very still,,,
7/17/2022,still,very,very still,,,
7/18/2022,breeze,good,good breeze,,,
7/19/2022,breeze,gentle,gentle breeze,,,
7/20/2022,still,very,very still,,,
7/21/2022,still,very,very still,,,
7/22/2022,still,very,very still,,,
7/23/2022,breeze,gentle,gentle breeze,,,
7/24/2022,breeze,slight,slight breeze,,,
7/25/2022,still,very,very still,,,
7/26/2022,still,very,very still,,,
7/27/2022,still,very,very still,,,
7/28/2022,still,very,very still,,,
7/29/2022,still,very,very still,,,
7/30/2022,still,very,very still,,,
7/31/2022,still,very,very still,,,
08/01/2022,still,very,very still,,,
08/02/2022,still,very,very still,,,
08/03/2022,still,very,very still,,,
08/04/2022,still,very,very still,,,
08/05/2022,still,very,very still,,,
08/06/2022,still,very,very still,,,
08/07/2022,still,very,very still,,,
08/08/2022,still,very,very still,,,
08/09/2022,still,very,very still,,,
08/10/2022,still,very,very still,,,
08/11/2022,breeze,good,good breeze,,,
08/12/2022,still,very,very still,,,
8/13/2022,still,very,very still,,,
8/14/2022,still,very,very still,,,
8/15/2022,still,very,very still,,,
8/16/2022,still,very,very still,,,
8/17/2022,still,very,very still,,,
8/18/2022,still,very,very still,,,
8/19/2022,still,very,very still,,,
8/20/2022,still,very,very still,,,
8/21/2022,still,very,very still,,,
8/22/2022,still,very,very still,,,
8/23/2022,still,very,very still,,,
8/24/2022,still,very,very still,,,
8/25/2022,still,very,very still,,,
8/26/2022,still,very,very still,,,
8/27/2022,still,very,very still,,,
8/28/2022,still,very,very still,,,
8/29/2022,still,very,very still,,,
8/30/2022,still,very,very still,,,
8/31/2022,still,very,very still,,,
09/01/2022,still,very,very still,,,
09/02/2022,still,very,very still,,,
09/03/2022,still,very,very still,,,
09/04/2022,breeze,strong,strong breeze,,,
09/05/2022,still,very,very still,,,
09/06/2022,still,very,very still,,,
09/07/2022,still,very,very still,,,
09/08/2022,still,very,very still,,,
09/09/2022,still,very,very still,,,
09/10/2022,breeze,strong,strong breeze,,,
09/11/2022,still,very,very still,,,
09/12/2022,still,very,very still,,,
9/13/2022,still,very,very still,,,
9/14/2022,still,very,very still,,,
9/15/2022,still,very,very still,,,
9/16/2022,still,very,very still,,,
9/17/2022,still,very,very still,,,
9/18/2022,still,very,very still,,,
9/19/2022,still,very,very still,,,
9/20/2022,still,very,very still,,,
9/21/2022,breeze,strong,strong breeze,,,
9/22/2022,breeze,very slight,very slight breeze,,,
9/23/2022,still,very,very still,,,
9/24/2022,still,very,very still,,,
9/25/2022,still,very,very still,,,
9/26/2022,still,very,very still,,,
9/27/2022,still,very,very still,,,
9/28/2022,still,very,very still,,,
9/29/2022,still,very,very still,,,
9/30/2022,still,very,very still,,,
10/01/2022,still,very,very still,,,
10/02/2022,still,very,very still,,,
10/03/2022,still,very,very still,,,
10/04/2022,still,very,very still,,,
10/05/2022,still,very,very still,,,
10/06/2022,still,very,very still,,,
10/07/2022,still,very,very still,,,
10/08/2022,still,very,very still,,,
10/09/2022,still,very,very still,,,
10/10/2022,still,very,very still,,,
10/11/2022,still,very,very still,,,
10/12/2022,still,very,very still,,,
10/13/2022,still,very,very still,,,
10/14/2022,still,very,very still,,,
10/15/2022,still,very,very still,,,
10/16/2022,still,very,very still,,,
10/17/2022,still,very,very still,,,
10/18/2022,still,very,very still,,,
10/19/2022,breeze,strong,strong breeze,,,
10/20/2022,still,very,very still,,,
10/21/2022,still,very,very still,,,
10/22/2022,still,very,very still,,,
10/23/2022,still,very,very still,,,
10/24/2022,still,very,very still,,,
10/25/2022,still,very,very still,,,
10/26/2022,still,very,very still,,,
10/27/2022,breeze,slight,slight breeze,,,
10/28/2022,still,very,very still,,,
10/30/2022,still,very,very still,,,
10/31/2022,still,very,very still,,,
11/01/2022,still,very,very still,,,
11/02/2022,still,very,very still,,,
11/03/2022,breeze,strong,strong breeze,,,
11/04/2022,still,very,very still,,,
11/05/2022,still,very,very still,,,
11/06/2022,still,very,very still,,,
11/07/2022,still,very,very still,,,
11/08/2022,breeze,good,good breeze,,,
11/09/2022,still,very,very still,,,
11/10/2022,still,very,very still,,,
11/11/2022,breeze,strong,strong breeze,,,
11/12/2022,breeze,slight,slight breeze,,,
11/14/2022,still,very,very still,,,
11/15/2022,still,very,very still,,,
11/16/2022,breeze,very slight,very slight breeze,,,
11/17/2022,breeze,strong,strong breeze,,,
11/18/2022,still,very,very still,,,
11/19/2022,breeze,strong,strong breeze,,,
11/20/2022,breeze,strong,strong breeze,,,
11/21/2022,breeze,strong,strong breeze,,,
11/22/2022,breeze,strong,strong breeze,,,
11/23/2022,still,very,very still,,,
11/24/2022,still,very,very still,,,
11/25/2022,breeze,strong,strong breeze,,,
11/26/2022,still,very,very still,,,
11/27/2022,still,very,very still,,,
11/28/2022,still,very,very still,,,
11/29/2022,still,very,very still,,,
11/30/2022,still,very,very still,,,
12/01/2022,still,very,very still,,,
12/02/2022,breeze,good,good breeze,,,
12/03/2022,still,very,very still,,,
12/04/2022,still,very,very still,,,
12/05/2022,still,very,very still,,,
12/06/2022,still,very,very still,,,
12/07/2022,still,very,very still,,,
12/08/2022,still,very,very still,,,
12/09/2022,still,very,very still,,,
12/10/2022,still,very,very still,,,
12/11/2022,breeze,strong,strong breeze,,,
12/12/2022,still,very,very still,,,
12/13/2022,breeze,gentle,gentle breeze,,,
12/14/2022,still,very,very still,,,
12/15/2022,still,very,very still,,,
12/16/2022,breeze,good,good breeze,,,